source,target,nu_gap,within_median,separation,n_reps,max_r2,mean_r2,p_global,q_global,src_class,tgt_class
Cyp7a1,Mt1,0.923340105054947,0.24907765719687994,0.6742624478580671,4,0.7956545719765684,0.351023118925151,0.00872797801842573,0.04743668715211545,output,external
Cyp7a1,Fkbp5,0.9934821832921885,0.27958383582924917,0.7138983474629393,4,0.8764305066795224,0.43908801126420793,0.005495393567156942,0.04743668715211545,output,external
Cyp7a1,Cirbp,0.9572603361381126,0.2568099814899688,0.7004503546481438,4,0.8555428020478906,0.4384688180324981,0.0069500565702278975,0.04743668715211545,output,external
Cyp7a1,Hspa1b,1.0,0.22513019049075955,0.7748698095092404,4,0.7874753198351889,0.400257187059025,0.005010505899466624,0.04743668715211545,output,external
Nfil3,Per1,0.8233567012466688,0.27433081059752434,0.5490258906491445,4,0.8449484018122796,0.43386547773613987,0.013091967027638598,0.04743668715211545,clock,clock
Usp2,Per1,1.0,0.2596759985188042,0.7403240014811958,4,0.6251693016012012,-1.6477113789472566,0.005010505899466624,0.04743668715211545,output,clock
Usp2,Arntl,0.8044038944446503,0.2490323917895761,0.5553715026550743,4,0.836271503418006,0.36717325475311025,0.013900113140455795,0.04743668715211545,output,clock
Lpl,Pnpla2,0.8674067449518531,0.2386575766761001,0.628749168275753,4,0.796689746303555,0.36523971616215445,0.010990787134313885,0.04743668715211545,output,external
Lpl,Mt1,0.9832816298247273,0.2527244454636524,0.730557184361075,4,0.6661731176283736,0.2898584028741743,0.00598028123484726,0.04743668715211545,output,external
Lpl,Fkbp5,1.0,0.2632874973915902,0.7367125026084098,4,0.77329385253529,0.37601095334187384,0.005010505899466624,0.04743668715211545,output,external
Lpl,Cirbp,0.9457372049369024,0.4011337598382282,0.5446034450986742,4,0.8044537662237479,0.3293104178785869,0.0071116857927913365,0.04743668715211545,output,external
Nfil3,Abca1,0.8037049877434974,0.24684776205282188,0.5568572256906755,4,0.5659411075224989,0.14606957714641744,0.013900113140455795,0.04743668715211545,clock,output
Nfil3,Elovl3,0.7759618478964481,0.1352520961205062,0.6407097517759419,4,0.8064823139341719,0.35955450660587873,0.01567803458865363,0.04743668715211545,clock,output
Nfil3,Avpr1a,0.7352986339972727,0.2523558936074553,0.4829427403898174,4,0.5509769045330761,0.24920582770047792,0.019233877485049296,0.04743668715211545,clock,output
Nfil3,Hmgcr,0.9712770705462319,0.15699999210087304,0.8142770784453589,4,0.7264266876474009,0.2879668241931233,0.0061419104574107,0.04743668715211545,clock,output
Nfil3,Wee1,0.883700204276642,0.4115723360896305,0.47212786818701147,4,0.6689190416748887,0.1775316161139592,0.010182641021496687,0.04743668715211545,clock,output
Nfil3,Nr1d2,0.8438509047038614,0.25553698607974273,0.5883139186241186,4,0.8157632940619481,0.3896987781340021,0.01212219169225796,0.04743668715211545,clock,clock
Nfil3,Nr1d1,0.8451331870205094,0.1648615876217016,0.6802715993988078,4,0.8382676064090735,0.4016685940763485,0.01196056246969452,0.04743668715211545,clock,clock
Nfil3,Per2,0.9573011540167435,0.1866737436535466,0.7706274103631969,4,0.8398510551312475,0.39102039843701214,0.0069500565702278975,0.04743668715211545,clock,clock
Cyp7a1,Fmo2,0.7433218301279942,0.2749444594005883,0.46837737072740593,4,0.6786529526847975,0.28454288263137373,0.01874898981735898,0.04743668715211545,output,output
Hlf,Pnpla2,1.0,0.32298109562313915,0.6770189043768609,4,0.6613851921320282,0.3649303820174983,0.005010505899466624,0.04743668715211545,clock,external
Hlf,Mt1,0.9954627030255521,0.22078407728827626,0.7746786257372758,4,0.8303980178128445,0.3861157922299332,0.005495393567156942,0.04743668715211545,clock,external
Hlf,Fkbp5,1.0,0.22754463871973782,0.7724553612802622,4,0.7273781185123493,0.40080056577892303,0.005010505899466624,0.04743668715211545,clock,external
Hlf,Cirbp,0.9988833412526346,0.184946080586671,0.8139372606659636,4,0.8133878448143623,0.3774604636364892,0.0053337643445935026,0.04743668715211545,clock,external
Hlf,Hspa1b,0.9984454800903406,0.2218235058084499,0.7766219742818907,4,0.7288077652233025,0.3787510662414867,0.0053337643445935026,0.04743668715211545,clock,external
Hlf,Elovl3,0.822735236467337,0.19897625743286818,0.6237589790344689,4,0.7979727306465054,0.36644136773007246,0.013091967027638598,0.04743668715211545,clock,output
Hlf,Hmgcr,0.955527017117808,0.41212510734295643,0.5434019097748515,4,0.7992364306150614,0.20299252812822013,0.0069500565702278975,0.04743668715211545,clock,output
Hlf,Wee1,0.8050285831964528,0.3321859475997526,0.47284263559670014,4,0.6825619090692848,0.2016548354547892,0.013900113140455795,0.04743668715211545,clock,output
Hlf,Nr1d2,0.9236262940284816,0.23515431781947954,0.6884719762090021,4,0.637618998502046,0.3128913910333283,0.008566348795862292,0.04743668715211545,clock,clock
Hlf,Nr1d1,0.8716661077664682,0.17635197856742962,0.6953141291990386,4,0.7741912838100089,0.37873585384397374,0.010829157911750445,0.04743668715211545,clock,clock
Hlf,Per3,0.8927076344021686,0.15736924293276694,0.7353383914694016,4,0.6457888189253758,0.22107238700056447,0.010021011798933247,0.04743668715211545,clock,clock
Hlf,Per2,0.9868810336388725,0.18524576825755595,0.8016352653813166,4,0.7910615858658749,0.3436556548329283,0.00598028123484726,0.04743668715211545,clock,clock
Hlf,Per1,0.8909365693133013,0.23907690973037982,0.6518596595829216,4,0.797018512432315,0.37190417743234233,0.010021011798933247,0.04743668715211545,clock,clock
Tef,Por,0.7585431907843327,0.2940736114670201,0.46446957931731264,4,0.6448302115319255,0.34350368467428266,0.0176175852594149,0.04743668715211545,clock,output
Fmo2,Usp2,0.7533451088424348,0.17978832249206925,0.5735567863503656,4,0.6941430704121072,0.34057751303212414,0.01810247292710522,0.04743668715211545,output,output
Rorb,Pnpla2,0.7730173115514705,0.2510071493109014,0.5220101622405691,4,0.7770414064636978,0.33366870634352697,0.01567803458865363,0.04743668715211545,clock,external
Rorb,Fkbp5,0.9358635774515631,0.25038243965960344,0.6854811377919596,4,0.8133359734952369,0.3442968046793334,0.007596573460481655,0.04743668715211545,clock,external
Rorb,Abca1,0.7667765808003855,0.4256261381593211,0.34115044264106437,4,0.5013388522392256,0.17133165143246715,0.016647809924034265,0.04743668715211545,clock,output
Rorb,Avpr1a,0.8354121356932143,0.29797342049363207,0.5374387151995822,4,0.6042689109414648,0.22456702097502168,0.0122838209148214,0.04743668715211545,clock,output
Rorb,Cyp7a1,0.7809420155632144,0.28529327937279336,0.49564873619042105,4,0.8037740379740868,0.31412582664880856,0.01567803458865363,0.04743668715211545,clock,output
Rorb,Hmgcr,0.975152116745077,0.21469176815404667,0.7604603485910303,4,0.6004068877459569,0.29679449913697487,0.0061419104574107,0.04743668715211545,clock,output
Slc45a3,Hmgcr,0.9133346902683099,0.27732661181649276,0.6360080784518172,4,0.5791029232223154,0.17839508653041283,0.00905123646355261,0.04743668715211545,output,output
Slc45a3,Wee1,0.9976383689986272,0.229517864324512,0.7681205046741153,4,0.5822624402821135,-0.45021574422391775,0.005495393567156942,0.04743668715211545,output,output
Slc45a3,Nr1d2,0.9565614860750864,0.2254535588567078,0.7311079272183786,4,0.8567625964079164,0.3331197105374819,0.0069500565702278975,0.04743668715211545,output,clock
Slc45a3,Nr1d1,0.9271189516427658,0.1643975002206211,0.7627214514221448,4,0.7886466741398119,0.39288868278546857,0.008566348795862292,0.04743668715211545,output,clock
Slc45a3,Per3,0.7644383617718127,0.35366973917685796,0.4107686225949547,4,0.5523618176568572,0.24378197629071668,0.016809439146597705,0.04743668715211545,output,clock
Slc45a3,Per2,0.9795286647117454,0.14659306541434491,0.8329355992974005,4,0.7625260859546839,0.33076680856364343,0.00598028123484726,0.04743668715211545,output,clock
Slc45a3,Per1,0.7894742725984346,0.2941511876928236,0.495323084905611,4,0.7862753858278437,0.37444142041184814,0.01503151769839987,0.04743668715211545,output,clock
Fmo2,Cirbp,0.9205001254958951,0.32864491094696624,0.5918552145489289,4,0.6514555581713024,0.2733788453239715,0.00872797801842573,0.04743668715211545,output,external
Dbp,Per1,0.9787742110738251,0.2672765927655423,0.7114976183082828,4,0.774339876547755,0.30439213432455303,0.00598028123484726,0.04743668715211545,clock,clock
Fmo2,Abca1,0.8645076483326346,0.23089452706838126,0.6336131212642533,4,0.745539940990241,0.2995909297645998,0.010990787134313885,0.04743668715211545,output,output
Fmo2,Avpr1a,0.8598391517704725,0.2378355102672758,0.6220036415031968,4,0.7545776479806843,0.35886886214346375,0.011475674802004203,0.04743668715211545,output,output
Fmo2,Hmgcr,0.8649464353848595,0.14097499181611423,0.7239714435687452,4,0.824508750651642,0.34493091067086845,0.010990787134313885,0.04743668715211545,output,output
Fmo2,Wee1,0.8732539842965613,0.28113382807110643,0.5921201562254549,4,0.7589821531781549,0.3260332989972306,0.010829157911750445,0.04743668715211545,output,output
Fmo2,Tef,0.9188935099153912,0.28675569173178117,0.63213781818361,4,0.5094932116407636,0.13727570492128066,0.00872797801842573,0.04743668715211545,output,clock
Fmo2,Dbp,0.9736277882859481,0.14259161422073316,0.8310361740652149,4,0.7306561223447561,0.28538756977917323,0.0061419104574107,0.04743668715211545,output,clock
Fmo2,Nr1d2,0.7634826081783359,0.0999471856962716,0.6635354224820643,4,0.9076696088214158,0.38610203687195777,0.016971068369161145,0.04743668715211545,output,clock
Fmo2,Nr1d1,0.8671933591368935,0.17085104713107616,0.6963423120058174,4,0.8848772802658503,0.42135865710824,0.010990787134313885,0.04743668715211545,output,clock
Fmo2,Per2,0.9144781713694534,0.19981621440159886,0.7146619569678545,4,0.8330842696175326,0.44379515673936165,0.00905123646355261,0.04743668715211545,output,clock
Rorb,Nr1d2,0.8278674208326061,0.31535162321821375,0.5125157976143924,4,0.7856550869703434,0.30932769639529634,0.013091967027638598,0.04743668715211545,clock,clock
Rorb,Nr1d1,0.8989860469546094,0.11748237227307957,0.7815036746815298,4,0.8291084186006237,0.3379598795389987,0.009697753353806368,0.04743668715211545,clock,clock
Rorb,Per2,0.9939192945661275,0.15672682960323597,0.8371924649628915,4,0.8572981011642518,0.335264103084945,0.005495393567156942,0.04743668715211545,clock,clock
Rorb,Per1,0.9780148626221364,0.20669839015557134,0.7713164724665651,4,0.8488097879163596,0.38563073523037344,0.00598028123484726,0.04743668715211545,clock,clock
Rora,Mt1,0.9696735740022417,0.3500859566849178,0.6195876173173239,4,0.7839280491666973,0.32644742796128895,0.006303539679974139,0.04743668715211545,clock,external
Hmgcr,Slc45a3,0.7316012918760743,0.12673558884436625,0.604865703031708,4,0.6843830298064717,0.3263744759787225,0.019557135930176175,0.04743668715211545,output,output
Cyp7a1,Usp2,0.8146052501501462,0.17615660981509274,0.6384486403350534,4,0.6922293304266748,0.2782713799025179,0.013415225472765475,0.04743668715211545,output,output
Cyp7a1,Abca1,0.8832455154685503,0.25963780472612935,0.6236077107424209,4,0.7099211885517427,0.295707990014329,0.010182641021496687,0.04743668715211545,output,output
Cyp7a1,Avpr1a,0.8706982009068258,0.3179385471429702,0.5527596537638556,4,0.7477598180448771,0.3560051158459752,0.010829157911750445,0.04743668715211545,output,output
Cyp7a1,Hmgcr,0.8544747721371311,0.18450639827352217,0.6699683738636089,4,0.7726881807796594,0.33736422278176315,0.011637304024567642,0.04743668715211545,output,output
Cyp7a1,Wee1,0.8561864613758132,0.19058694486003985,0.6655995165157733,4,0.7028986211090609,0.3151887305889591,0.011637304024567642,0.04743668715211545,output,output
Cyp7a1,Nr1d2,0.8063107935911913,0.16519195683052815,0.6411188367606632,4,0.8224234226315567,0.3800609607975756,0.013738483917892355,0.04743668715211545,output,clock
Cyp7a1,Per3,0.8486680980866181,0.12416158342014255,0.7245065146664755,4,0.8402380064186112,0.3281920890131569,0.01179893324713108,0.04743668715211545,output,clock
Cyp7a1,Per2,0.8936815425285599,0.12423552909596819,0.7694460134325918,4,0.8629257745165942,0.40665909358208147,0.010021011798933247,0.04743668715211545,output,clock
Cyp7a1,Per1,0.8920404139340339,0.14891018459156008,0.7431302293424737,4,0.8298811051410243,0.4128401597215938,0.010021011798933247,0.04743668715211545,output,clock
Cyp7a1,Npas2,0.8801019049772498,0.31035346797280183,0.569748437004448,4,0.8193512451249104,0.20343405720466148,0.010344270244060125,0.04743668715211545,output,clock
Cyp7a1,Arntl,0.9861580744190044,0.19813921744129484,0.7880188569777096,4,0.6972152767129948,-0.7180322464955986,0.00598028123484726,0.04743668715211545,output,clock
Hmgcr,Mt1,0.9643744596298756,0.41510723859334386,0.5492672210365317,4,0.6809117991671179,0.28054721059032006,0.006465168902537579,0.04743668715211545,output,external
Hmgcr,Fkbp5,1.0,0.31008040121326397,0.689919598786736,4,0.6143094219462767,0.12045074349197935,0.005010505899466624,0.04743668715211545,output,external
Hmgcr,Hspa1b,1.0,0.35153577387723156,0.6484642261227684,4,0.5974571993672984,0.15976180046833477,0.005010505899466624,0.04743668715211545,output,external
Usp2,Nr1d1,1.0,0.09883123526116408,0.9011687647388359,4,0.6430692066565651,0.2937482042400171,0.005010505899466624,0.04743668715211545,output,clock
Hmgcr,Fmo2,0.7390146396880053,0.32351210146438536,0.41550253822361993,4,0.7528671939551788,0.2898641592332718,0.019072248262485856,0.04743668715211545,output,output
Tef,Nr1d2,0.959913391299068,0.37645411673086204,0.583459274568206,4,0.577199108779415,0.2315943918109421,0.0069500565702278975,0.04743668715211545,clock,clock
Tef,Nr1d1,0.9239397230574014,0.2774646682295975,0.6464750548278039,4,0.796336455377143,0.3804922407140272,0.008566348795862292,0.04743668715211545,clock,clock
Tef,Cry1,0.7516737683908554,0.16621231431887665,0.5854614540719788,4,0.7792469649839747,0.344293695876335,0.01810247292710522,0.04743668715211545,clock,clock
Tef,Per3,0.8571128481294783,0.29528188960953194,0.5618309585199464,4,0.6308982150847446,0.14647527510709923,0.011637304024567642,0.04743668715211545,clock,clock
Tef,Per2,0.9606332858207594,0.3269385496151026,0.6336947362056568,4,0.7680983322657695,0.35333928843995366,0.006626798125101019,0.04743668715211545,clock,clock
Tef,Per1,0.9897546891257798,0.15373038645781675,0.836024302667963,4,0.825695631867488,0.38354829421682246,0.00598028123484726,0.04743668715211545,clock,clock
Dbp,Pnpla2,0.9990509283294793,0.5303872432226089,0.4686636851068704,4,0.7152677376874605,0.29686515108870193,0.0053337643445935026,0.04743668715211545,clock,external
Dbp,Fkbp5,0.8057228884160343,0.244702896073439,0.5610199923425954,4,0.8358601203121883,0.3592859764704376,0.013738483917892355,0.04743668715211545,clock,external
Dbp,Hspa1b,0.9583599689299533,0.21457034022212215,0.7437896287078312,4,0.8539622650535607,0.3429960254201536,0.0069500565702278975,0.04743668715211545,clock,external
Dbp,Pck1,0.7433643563483567,0.2680602188214185,0.47530413752693823,4,0.8507708877731716,0.39230631478703176,0.01874898981735898,0.04743668715211545,clock,output
Dbp,Nr1d2,0.9222497219690844,0.2773646893078812,0.6448850326612032,4,0.6433065050888371,0.20840482077891143,0.00872797801842573,0.04743668715211545,clock,clock
Dbp,Nr1d1,0.9820487026198135,0.21738633758718812,0.7646623650326254,4,0.7558511149711497,0.3622356489190105,0.00598028123484726,0.04743668715211545,clock,clock
Dbp,Per2,1.0,0.22994793031682684,0.7700520696831732,4,0.7064565399641725,-8.630580235645404,0.005010505899466624,0.04743668715211545,clock,clock
G6pc,Per2,0.8828217603502416,0.09681220897246973,0.7860095513777718,4,0.8542597466820717,0.4339673488505155,0.010182641021496687,0.04743668715211545,output,clock
Fkbp5,Tef,0.751222253747917,0.22938041716130753,0.5218418365866094,4,0.7534907824614618,0.3691346306016823,0.01810247292710522,0.04743668715211545,external,clock
Fkbp5,Dbp,0.8580198180340168,0.08489468338502304,0.7731251346489938,4,0.8999794431920495,0.4358420368452506,0.011637304024567642,0.04743668715211545,external,clock
Mt1,Arntl,0.9892494487426374,0.22542168428259468,0.7638277644600427,4,0.7743663281899773,0.3533105943397237,0.00598028123484726,0.04743668715211545,external,clock
Pnpla2,Cry1,0.8002698261478878,0.13621978499558934,0.6640500411522985,4,0.8029351384790737,0.38480492737148664,0.014546630030709553,0.04743668715211545,external,clock
Per1,Cyp7a1,0.8936799520060423,0.2565032774710759,0.6371766745349665,4,0.523460559008073,0.23634890125126376,0.010021011798933247,0.04743668715211545,clock,output
Per1,G6pc,0.7560319013106358,0.21119232025645007,0.5448395810541857,4,0.8188523033794286,0.3369435861239467,0.01794084370454178,0.04743668715211545,clock,output
Per1,Nampt,0.7445620872311391,0.18372655769218493,0.5608355295389542,4,0.7265406052735868,0.3185672514078539,0.01874898981735898,0.04743668715211545,clock,output
Per1,Nfil3,0.7611615793174134,0.13693226125754168,0.6242293180598717,4,0.8128241673465074,0.33015688548407846,0.017294326814288025,0.04743668715211545,clock,clock
Npas2,Fmo2,0.7874762146280012,0.31685049979377294,0.47062571483422827,4,0.853225357253932,0.3440720391911822,0.01535477614352675,0.04743668715211545,clock,output
G6pc,Hmgcr,0.9567109241414855,0.27988810759984256,0.676822816541643,4,0.7743276095685881,0.3362718177028811,0.0069500565702278975,0.04743668715211545,output,output
G6pc,Wee1,0.8088221853338506,0.34612702888546476,0.4626951564483859,4,0.7097950596790847,0.371869727342024,0.013415225472765475,0.04743668715211545,output,output
G6pc,Nr1d2,0.9426829898672273,0.279223562888561,0.6634594269786663,4,0.8180274170297724,0.3798200092783645,0.007273315015354776,0.04743668715211545,output,clock
G6pc,Nr1d1,0.7911393528509967,0.16593926425947791,0.6252000885915188,4,0.8299987340966221,0.4096191796596762,0.01503151769839987,0.04743668715211545,output,clock
G6pc,Per3,0.7584391304223833,0.2608644313815593,0.497574699040824,4,0.6829393694977134,0.29244686629731725,0.0176175852594149,0.04743668715211545,output,clock
Npas2,Nr1d1,0.9978770144595983,0.2581547800116439,0.7397222344479544,4,0.6466204948659652,0.2378288662372808,0.005495393567156942,0.04743668715211545,clock,clock
G6pc,Per1,0.8537588247607661,0.17008567682461934,0.6836731479361469,4,0.8424308991148318,0.40729239206522444,0.011637304024567642,0.04743668715211545,output,clock
G6pc,Npas2,0.8654469022211497,0.5502539168880591,0.3151929853330906,4,0.8165696119896988,0.22021886639373028,0.010990787134313885,0.04743668715211545,output,clock
G6pc,Arntl,0.9767042583093376,0.5113094375938289,0.46539482071550875,4,0.661010764810956,-2.218167610091496,0.00598028123484726,0.04743668715211545,output,clock
Pck1,Usp2,0.960170899456859,0.36805727147147993,0.592113627985379,4,0.6757272745990004,0.16878453864922646,0.0069500565702278975,0.04743668715211545,output,output
Pck1,Abca1,0.8042261277633678,0.4044617420815807,0.39976438568178707,4,0.6928024367999281,0.16962253314024553,0.013900113140455795,0.04743668715211545,output,output
Pck1,Avpr1a,0.8630571416387929,0.379453907353,0.4836032342857929,4,0.6366935927263233,0.18280876660666462,0.011314045579440763,0.04743668715211545,output,output
Pck1,Hmgcr,0.9789784930238001,0.12223061119859098,0.8567478818252091,4,0.7451989777045827,0.2743388360390737,0.00598028123484726,0.04743668715211545,output,output
Pck1,Wee1,1.0,0.16795966565377263,0.8320403343462274,4,0.5760192373362281,0.24320787484601283,0.005010505899466624,0.04743668715211545,output,output
Pck1,Nr1d2,0.9535064755488576,0.1502739661757897,0.8032325093730679,4,0.8126108641986554,0.35194522842361403,0.0069500565702278975,0.04743668715211545,output,clock
Pck1,Nr1d1,0.8107829190724444,0.15172966540731114,0.6590532536651332,4,0.8517879110990548,0.4248060749037216,0.013415225472765475,0.04743668715211545,output,clock
Lpl,Hspa1b,0.8188818365653364,0.3413149129940849,0.4775669235712515,4,0.6639084257738121,0.3069446436554124,0.013415225472765475,0.04743668715211545,output,external
Lpl,Usp2,0.7637065650900532,0.38668050873297866,0.37702605635707453,4,0.6911683176397907,0.32155261394351997,0.016971068369161145,0.04743668715211545,output,output
Lpl,Abca1,0.928156234667429,0.28128193911378496,0.6468742955536441,4,0.7569842498084178,0.33429186419278045,0.008404719573298853,0.04743668715211545,output,output
Lpl,Avpr1a,0.769079187367157,0.24901628943248233,0.5200628979346746,4,0.6489876308477646,0.33476359879289286,0.016001293033780506,0.04743668715211545,output,output
Pnpla2,Dbp,0.8790302226949991,0.11282248399945086,0.7662077386955483,4,0.8756989415210956,0.43488522174664,0.010505899466623565,0.04743668715211545,external,clock
Npas2,Per1,0.9873660933267359,0.303658840520434,0.6837072528063018,4,0.515524695708884,0.2210376689966746,0.00598028123484726,0.04743668715211545,clock,clock
Ppia,Hspa1b,0.8110254880947976,0.4522183819776098,0.3588071061171878,4,0.5307594479314404,0.006870211062620396,0.013415225472765475,0.04743668715211545,background,external
G6pc,Avpr1a,0.9053972584778489,0.19032883259720568,0.7150684258806432,4,0.6836303406302784,0.3639823385658971,0.009697753353806368,0.04743668715211545,output,output
Per1,Mt1,0.7326097952946657,0.6195822849534804,0.1130275103411853,4,0.5518316918140953,-2.6446009783299127,0.019395506707612736,0.04743668715211545,clock,external
Clock,Por,0.7546623496590914,0.15098157914551913,0.6036807705135723,4,0.5027287769441269,0.1240299015123006,0.01794084370454178,0.04743668715211545,clock,output
Mt1,Hmgcr,0.7943154075464675,0.07957853874395851,0.714736868802509,4,0.8184058959828895,0.39056030028595723,0.01486988847583643,0.04743668715211545,external,output
Arntl,Per1,0.9793688806997172,0.3255317014468536,0.6538371792528636,4,0.8055764236812397,0.3289892602901085,0.00598028123484726,0.04743668715211545,clock,clock
Pnpla2,Mfsd2a,0.7392041338734702,0.15854109632809782,0.5806630375453723,4,0.6407088454791485,0.2654245693954419,0.019072248262485856,0.04743668715211545,external,output
Pnpla2,G6pc,0.8754450488878334,0.16143516083783638,0.714009888049997,4,0.8179337823356989,0.3233276727943034,0.010829157911750445,0.04743668715211545,external,output
Pnpla2,Pck1,0.8788569667823943,0.07216236170309853,0.8066946050792958,4,0.7459531129134016,0.33524199620088485,0.010667528689187005,0.04743668715211545,external,output
Pnpla2,Nampt,0.8534815912935607,0.1701690020544779,0.6833125892390828,4,0.7610386725196585,0.3634600754486905,0.011637304024567642,0.04743668715211545,external,output
Per1,Tef,0.7276596191920393,0.3007691190224179,0.4268905001696214,4,0.8237886660435971,0.35912638236250005,0.020203652820429935,0.04743668715211545,clock,clock
Per1,Dbp,0.8456037086260322,0.14514899248568225,0.7004547161403499,4,0.8701647754308329,0.433747786113973,0.01196056246969452,0.04743668715211545,clock,clock
Clock,Pnpla2,0.7785893676186756,0.5817851491242512,0.19680421849442442,4,0.5397466849140534,0.2189611661863224,0.01567803458865363,0.04743668715211545,clock,external
Lpl,Hmgcr,0.9016817645440496,0.1339466081290079,0.7677351564150416,4,0.8565979590018994,0.3344657769062106,0.009697753353806368,0.04743668715211545,output,output
Npas2,Fkbp5,0.8925742678048193,0.3343552815485445,0.5582189862562748,4,0.7298090224163181,0.3321303583275777,0.010021011798933247,0.04743668715211545,clock,external
Per1,Cyp2b10,0.8410719269743825,0.21259999772791488,0.6284719292464676,4,0.676343246487568,0.24985147605034036,0.0122838209148214,0.04743668715211545,clock,output
Per1,Elovl3,0.8922668442759216,0.18459898671441555,0.7076678575615061,4,0.6351364602554231,0.3048769985280602,0.010021011798933247,0.04743668715211545,clock,output
Per1,Gys2,0.7725600688368777,0.232836431147495,0.5397236376893827,4,0.6959173721250921,0.3418231693313581,0.01583966381121707,0.04743668715211545,clock,output
Mt1,Dbp,0.9852059213378054,0.07974522447205523,0.9054606968657501,4,0.8188770187049327,0.3295395488658843,0.00598028123484726,0.04743668715211545,external,clock
Pnpla2,Cyp2b10,0.8540462291726278,0.2166060995435814,0.6374401296290464,4,0.7412412510307138,0.2594470240992931,0.011637304024567642,0.04743668715211545,external,output
